number,filename_json,filename_img,init_status,annotation_x_start,annotation_x_stop,annotation_y_start,annotation_y_stop,observed_status,observed_annotation,same_result
0,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701A.png.json,-,-,-,-,-,-,-,1
1,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701B.png.json,-,-,-,-,-,-,-,1
2,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701C.png.json,-,-,-,-,-,-,-,1
3,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701D.png.json,-,-,-,-,-,-,-,1
4,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5701F.png.json,-,-,-,-,-,-,-,1
5,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702A.png.json,-,-,-,-,-,-,-,1
6,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702C.png.json,-,-,-,-,-,-,-,1
7,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702D.png.json,-,-,-,-,-,-,-,1
8,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702E.png.json,-,-,-,-,-,-,-,1
9,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5702F.png.json,-,-,-,-,-,-,-,1
10,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703A.png.json,-,-,-,-,-,-,-,1
11,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703B.png.json,-,-,-,-,-,-,-,1
12,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703C.png.json,-,-,-,-,-,-,-,1
13,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703D.png.json,-,-,-,-,-,-,-,1
14,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5703F.png.json,-,-,-,-,-,-,-,1
15,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704A.png.json,-,-,-,-,-,-,-,1
16,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704B.png.json,-,-,-,-,-,-,-,1
17,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704C.png.json,-,-,-,-,-,-,-,1
18,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704D.png.json,-,-,-,-,-,-,-,1
19,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704E.png.json,-,-,-,-,-,-,-,1
20,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5704F.png.json,-,-,-,-,-,-,-,1
21,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705A.png.json,-,-,-,-,-,-,-,1
22,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705B.png.json,-,-,-,-,-,-,-,1
23,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705C.png.json,-,-,-,-,-,-,-,1
24,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705D.png.json,-,-,-,-,-,-,-,1
25,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705E.png.json,-,-,-,-,-,-,-,1
26,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5705F.png.json,-,-,-,-,-,-,-,1
27,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706A.png.json,-,-,-,-,-,-,-,1
28,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706B.png.json,-,-,-,-,-,-,-,1
29,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706C.png.json,-,-,-,-,-,-,-,1
30,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706D.png.json,-,-,-,-,-,-,-,1
31,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706E.png.json,-,-,-,-,-,-,-,1
32,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5706F.png.json,-,-,-,-,-,-,-,1
33,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707A.png.json,-,-,-,-,-,-,-,1
34,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707B.png.json,-,-,-,-,-,-,-,1
35,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707C.png.json,-,-,-,-,-,-,-,1
36,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707D.png.json,-,-,-,-,-,-,-,1
37,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707E.png.json,-,-,-,-,-,-,-,1
38,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5707F.png.json,-,-,-,-,-,-,-,1
39,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5708B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5708B.png.json,Warping,978,1194,346,452,Warping,0,1
40,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5708D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5708D.png.json,-,-,-,-,-,-,-,1
41,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5708E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5708E.png.json,-,-,-,-,-,-,-,1
42,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709A.png.json,-,-,-,-,-,-,-,1
43,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709B.png.json,-,-,-,-,-,-,-,1
44,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709C.png.json,-,-,-,-,-,-,-,1
45,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709D.png.json,-,-,-,-,-,-,-,1
